

customer_id,age,income,employment_status,tenure_months,credit_limit,current_balance,avg_monthly_spend,transaction_volatility,payment_on_time_ratio,missed_payments,days_past_due,recent_delinquency_flag,credit_utilization,cashflow_stability_index,spending_to_income_ratio,risk_label
CUST001,34,5200,Employed,48,12000,8500,3100,0.42,0.78,2,25,1,0.71,0.62,0.60,1
CUST002,45,7800,Employed,72,15000,4000,2900,0.25,0.95,0,0,0,0.27,0.88,0.37,0
CUST003,29,3200,Contract,18,8000,6500,2800,0.55,0.70,3,40,1,0.81,0.48,0.88,1
CUST004,51,9100,Employed,120,20000,6000,3500,0.22,0.96,0,0,0,0.30,0.91,0.38,0
CUST005,39,4600,Self-Employed,36,10000,9200,3700,0.60,0.65,4,60,1,0.92,0.40,0.80,1
CUST006,27,2800,Unemployed,12,5000,4300,2500,0.68,0.60,5,75,1,0.86,0.35,0.89,1
CUST007,48,8300,Employed,96,18000,7000,3200,0.30,0.93,1,10,0,0.39,0.85,0.39,0
CUST008,36,5400,Employed,60,13000,5000,3000,0.33,0.88,1,5,0,0.38,0.80,0.55,0
CUST009,42,6100,Self-Employed,50,14000,12000,4500,0.58,0.72,3,45,1,0.86,0.50,0.74,1
CUST010,31,4000,Contract,24,9000,7000,2900,0.50,0.75,2,30,1,0.78,0.55,0.73,1
CUST011,55,10000,Employed,140,25000,8000,4000,0.20,0.97,0,0,0,0.32,0.92,0.40,0
CUST012,38,4800,Employed,48,11000,6000,3100,0.35,0.85,1,15,0,0.55,0.75,0.65,0
CUST013,26,2600,Unemployed,10,4000,3500,2100,0.70,0.58,6,80,1,0.88,0.30,0.81,1
CUST014,47,7200,Employed,84,16000,5000,2800,0.28,0.92,0,5,0,0.31,0.86,0.39,0
CUST015,33,3900,Contract,30,9500,8200,3300,0.52,0.73,3,35,1,0.86,0.52,0.85,1
CUST016,50,8800,Employed,110,21000,7000,3600,0.25,0.94,1,10,0,0.33,0.89,0.41,0
CUST017,41,6200,Self-Employed,54,14000,10000,4200,0.57,0.74,3,50,1,0.71,0.55,0.68,1
CUST018,28,3100,Contract,20,7000,5800,2600,0.60,0.68,4,55,1,0.83,0.45,0.84,1
CUST019,52,9500,Employed,130,23000,6000,3000,0.22,0.96,0,0,0,0.26,0.93,0.32,0
CUST020,37,5300,Employed,58,12000,4000,2700,0.30,0.90,1,5,0,0.33,0.82,0.51,0
CUST021,30,4100,Contract,26,9000,7500,3100,0.48,0.76,2,28,1,0.83,0.60,0.76,1
CUST022,44,6700,Employed,70,15000,5000,2800,0.27,0.91,1,8,0,0.33,0.85,0.42,0
CUST023,35,5000,Self-Employed,40,11000,9000,3800,0.55,0.70,3,48,1,0.82,0.50,0.76,1
CUST024,49,8200,Employed,90,17000,6000,2900,0.29,0.93,1,12,0,0.35,0.87,0.35,0
CUST025,32,4200,Contract,28,10000,7800,3200,0.50,0.75,2,32,1,0.78,0.58,0.76,1
